Categoria,Fecha,Club,ID,Nombre
Masculino,2024-08-01,Club A,1,Torneo 1
Femenino,2024-08-05,Club B,2,Torneo 2
Mixto,2024-08-10,Club C,3,Torneo 3
Masculino,2024-08-15,Club D,4,Torneo 4
Femenino,2024-08-20,Club E,5,Torneo 5
Mixto,2024-08-25,Club F,6,Torneo 6
Masculino,2024-09-01,Club G,7,Torneo 7
Femenino,2024-09-05,Club H,8,Torneo 8
Mixto,2024-09-10,Club I,9,El Nueve
Masculino,2024-09-15,Club J,10,Torneo 10
Femenino,2024-09-20,Club K,11,Torneo 11
Mixto,2024-09-25,Club L,12,Torneo 12
Masculino,2024-10-01,Club M,13,Torneo 13
Femenino,2024-10-05,Club N,14,Torneo 14
Mixto,2024-10-10,Club O,15,Torneo 15